,height_group
0,middle
1,middle
2,middle
3,
4,middle
5,middle
6,middle
7,middle
8,low
9,middle
10,middle
11,middle
12,middle
13,middle
14,low
15,middle
16,middle
17,high
18,low
19,high
20,middle
21,middle
22,middle
23,middle
24,middle
25,middle
26,middle
27,middle
28,middle
29,middle
30,middle
31,middle
32,middle
33,middle
34,middle
35,middle
36,middle
37,high
38,middle
39,middle
40,middle
41,middle
42,middle
43,high
44,middle
45,middle
46,middle
47,middle
48,middle
49,high
50,middle
51,middle
52,middle
53,middle
54,low
55,middle
56,middle
57,middle
58,middle
59,middle
60,middle
61,middle
62,middle
63,middle
64,middle
65,middle
66,middle
67,middle
68,middle
69,middle
70,low
71,middle
72,middle
73,high
74,middle
75,high
76,middle
77,middle
78,middle
79,high
80,low
81,high
82,middle
83,middle
84,middle
85,middle
86,middle
87,middle
88,middle
89,middle
90,middle
91,middle
92,low
93,middle
94,middle
95,middle
96,middle
97,middle
98,low
99,high
100,middle
101,middle
102,middle
103,middle
104,middle
105,middle
106,middle
107,middle
108,middle
109,high
110,middle
111,high
112,middle
113,high
114,middle
115,high
116,middle
117,middle
118,middle
119,middle
120,middle
121,middle
122,middle
123,middle
124,middle
125,middle
126,middle
127,middle
128,middle
129,high
130,middle
131,high
132,middle
133,middle
134,middle
135,middle
136,middle
137,middle
138,middle
139,middle
140,middle
141,middle
142,low
143,middle
144,middle
145,middle
146,middle
147,middle
148,middle
149,middle
150,middle
151,middle
152,high
153,high
154,high
155,high
156,high
157,high
158,high
159,high
160,high
161,high
162,high
163,high
164,high
165,high
166,high
167,high
168,high
169,high
170,high
171,high
172,high
173,high
174,high
175,high
176,high
177,high
178,high
179,high
180,high
181,high
182,middle
183,high
184,high
185,high
186,high
187,high
188,high
189,high
190,high
191,high
192,high
193,high
194,high
195,high
196,high
197,high
198,high
199,high
200,high
201,high
202,high
203,high
204,high
205,high
206,high
207,high
208,high
209,high
210,high
211,high
212,high
213,high
214,high
215,high
216,high
217,high
218,high
219,high
220,high
221,high
222,high
223,high
224,high
225,high
226,high
227,high
228,high
229,high
230,middle
231,high
232,high
233,high
234,high
235,high
236,middle
237,high
238,high
239,high
240,high
241,high
242,high
243,high
244,high
245,high
246,high
247,high
248,high
249,high
250,high
251,high
252,high
253,high
254,high
255,high
256,high
257,high
258,high
259,high
260,high
261,high
262,high
263,high
264,high
265,high
266,high
267,high
268,high
269,high
270,high
271,high
272,high
273,high
274,high
275,high
276,high
277,high
278,high
279,high
280,high
281,high
282,high
283,high
284,high
285,high
286,high
287,high
288,high
289,high
290,high
291,high
292,high
293,high
294,high
295,high
296,high
297,high
298,high
299,high
300,high
301,high
302,high
303,high
304,high
305,high
306,high
307,high
308,high
309,high
310,high
311,high
312,high
313,high
314,high
315,high
316,high
317,high
318,high
319,high
320,high
321,high
322,high
323,high
324,high
325,high
326,middle
327,high
328,high
329,high
330,high
331,high
332,high
333,high
334,high
335,high
336,high
337,high
338,high
339,
340,high
341,high
342,high
343,high
